country,continent,region,pdi,idv,mas,uai,lto,ivr,1990,1990_male,1990_female,1995,1995_male,1995_female,2000,2000_male,2000_female,2005,2005_male,2005_female,2010,2010_male,2010_female,2015,2015_male,2015_female,2020,2020_male,2020_female,2024,2024_male,2024_female
Ethiopia,Africa,Eastern Africa,70,7,65,55,14.0,46.0,875325,478712,311441,170773,227078,797374,875170,1168455,436392,240215,156802,86760,115758,396795,435342,587448,438933,238497,154639,84013,111320,400579,439828,581007
Kenya,Africa,Eastern Africa,70,4,60,50,11.0,51.5,298089,618745,707852,773354,954925,1126886,1050147,992536,161259,322189,352933,400364,473093,562909,529975,500901,136830,296556,354919,372990,481832,563977,520172,491635
Malawi,Africa,Eastern Africa,70,30,40,50,20.0,51.5,1127724,241624,232620,221661,217722,197328,191362,186719,546520,116198,111530,105931,103869,93689,93612,91341,581204,125426,121090,115730,113853,103639,97750,95378
Mozambique,Africa,Eastern Africa,85,15,38,44,11.0,80.0,122332,168256,195702,268694,306471,321794,338850,353143,66060,91210,103175,130290,148105,155510,165490,172471,56272,77046,92527,138404,158366,166284,173360,180672
Tanzania,Africa,Eastern Africa,70,25,40,50,34.0,38.0,574025,1106043,949600,771153,309847,384567,426017,462371,283390,547089,481816,486983,154591,190617,213007,231184,290635,558954,467784,284170,155256,193950,213010,231187
Zambia,Africa,Eastern Africa,60,35,40,50,30.0,42.0,279463,244338,343703,252895,149962,132107,187955,249205,143029,125329,175114,128628,75941,66651,97556,129347,136434,119009,168589,124267,74021,65456,90399,119858
Angola,Africa,Middle Africa,83,18,20,60,15.0,83.0,33517,39813,46108,62331,336367,632178,656434,676507,18142,20755,23367,30736,162332,304635,331401,341535,15375,19058,22741,31595,174035,327543,325033,334972
Algeria,Africa,Northern Africa,80,29,35,70,25.0,32.0,273954,262032,250110,197728,217268,239473,250378,259458,150234,143696,137158,108434,114894,126522,132142,136934,123720,118336,112952,89294,102374,112951,118236,122524
Egypt,Africa,Northern Africa,80,13,55,55,22.0,0.0,144713,160802,179364,288944,323177,499292,602472,1139820,83128,91509,101163,158613,176650,268755,322725,602981,61585,69293,78201,130331,146527,230537,279747,536839
Libya,Africa,Northern Africa,100,17,66,67,22.0,74.0,457075,508041,567436,625412,687192,771146,826537,897751,242707,300906,368950,445685,491303,549153,593797,644964,214368,207135,198486,179727,195889,221993,232740,252787
Morocco,Africa,Northern Africa,70,24,53,68,25.0,25.0,54895,50360,53034,56222,71189,92424,102358,111069,29024,26264,27233,28486,35881,46387,52707,57192,25871,24096,25801,27736,35308,46037,49651,53877
Tunisia,Africa,Northern Africa,70,27,40,75,24.0,32.8,37984,37867,36719,35040,43172,56532,60145,63201,18900,19045,18679,18000,22236,29253,31474,33073,19084,18822,18040,17040,20936,27279,28671,30128
Namibia,Africa,Southern Africa,65,30,40,45,35.0,49.8,120641,115372,135547,107347,103826,101618,109391,116035,63748,61310,73154,57625,55803,54739,59024,62609,56893,54062,62393,49722,48023,46879,50367,53426
Burkina Faso,Africa,Western Africa,70,15,50,55,27.0,18.0,349652,464104,520363,597658,674438,704676,723989,739820,167834,223156,250555,285871,320939,335328,344331,351860,181818,240948,269808,311787,353499,369348,379658,387960
Ghana,Africa,Western Africa,80,9,40,65,1.0,72.0,164851,252879,191601,309932,337766,414744,476412,532286,83030,127423,97279,159527,180030,221026,254403,284239,81821,125456,94322,150405,157736,193718,222009,248047
Nigeria,Africa,Western Africa,80,0,60,55,8.0,84.0,456621,462999,487882,969714,990494,1199115,1308568,1403281,256166,258091,270211,564612,576648,657887,713678,765333,200455,204908,217671,405102,413846,541228,594890,637948
Senegal,Africa,Western Africa,70,25,45,55,25.0,58.0,270410,287654,231901,238298,256092,266496,274929,281867,138840,147165,121492,124854,135879,141402,145591,149265,131570,140489,110409,113444,120213,125094,129338,132602
Sierra Leone,Africa,Western Africa,70,20,40,50,15.2,58.0,222148,98516,97974,146227,79265,58830,53746,49997,122898,55937,54184,76709,43622,33077,30408,28287,99250,42579,43790,69518,35643,25753,23338,21710
Kazakhstan,Asia,Central Asia,88,20,50,88,85.0,22.0,3289058,2259955,1733374,1845637,1856870,1919920,1990268,2089797,1506704,1018105,767794,805187,793797,805755,819990,850966,1782354,1241850,965580,1040450,1063073,1114165,1170278,1238831
China,Asia,Eastern Asia,80,43,66,30,77.0,24.0,518395,610608,720915,853360,1010008,1196007,1415116,1638718,306695,361610,427157,505621,598443,665970,731953,792506,211700,248998,293758,347739,411565,530037,683163,846212
Hong Kong,Asia,Eastern Asia,68,50,57,29,93.0,17.0,2218473,2443798,2669122,2721235,2779950,2841113,2962492,3063318,1124544,1175087,1225629,1185121,1147539,1120982,1107970,1145679,1093929,1268711,1443493,1536114,1632411,1720131,1854522,1917639
Taiwan,Asia,Eastern Asia,58,40,45,69,87.0,49.0,66378,246682,450366,548367,587646,866324,1055191,1136425,21489,138631,194678,165436,165717,296061,386509,448930,44889,108051,255688,382931,421929,570263,668682,687495
Japan,Asia,Eastern Asia,54,62,95,92,100.0,42.0,1050475,1331094,1651869,1976528,2161780,2577487,3289042,3409529,528160,661549,784918,923687,976490,1202757,1622963,1719879,522315,669545,866951,1052841,1185290,1374730,1666079,1689650
Mongolia,Asia,Eastern Asia,93,37,29,39,50.0,42.0,6718,7424,8206,11477,16062,19886,21345,22589,3419,3959,4564,7577,11880,13284,14263,15094,3299,3465,3642,3900,4182,6602,7082,7495
Republic of Korea,Asia,Eastern Asia,60,58,39,85,86.0,29.0,18499,52719,144426,231744,566098,1312172,1723389,1811507,10019,30590,86505,153783,315024,757875,967535,961477,8480,22129,57921,77961,251074,554297,755854,850030
Bangladesh,Asia,Southern Asia,80,5,55,60,38.0,20.0,881617,934735,987853,1062270,1345546,1422179,2115408,2906338,476097,503989,531907,572146,710548,751741,1093978,1503005,405520,430746,455946,490124,634998,670438,1021430,1403333
Bhutan,Asia,Southern Asia,94,52,32,28,36.6,21.5,23807,27972,32137,40279,48420,51106,53612,55705,19409,22804,26200,32742,39283,43396,45524,47301,4398,5168,5937,7537,9137,7710,8088,8404
India,Asia,Southern Asia,77,24,56,40,51.0,26.0,7212791,6836861,6391543,5954999,5601237,5252296,4929816,4796255,3718790,3520808,3289735,3007075,2688107,2418270,2179234,2059115,3494001,3316053,3101808,2947924,2913130,2834026,2750582,2737140
Iran,Asia,Southern Asia,58,23,43,59,30.0,40.0,4291601,2937668,2476469,2552206,2722397,2729939,2797235,3840654,2369093,1612428,1365390,1401736,1490419,1487403,1517518,1842260,1922508,1325240,1111079,1150470,1231978,1242536,1279717,1998394
Nepal,Asia,Southern Asia,65,30,40,40,36.6,21.5,429974,690225,717900,680729,581889,509471,487564,470719,125966,217088,241959,235852,191167,156361,146930,141854,304008,473137,475941,444877,390722,353110,340634,328865
Pakistan,Asia,Southern Asia,55,5,50,70,19.0,0.0,6208204,3669308,4181912,3174558,3943681,3506520,3276580,4175958,3264380,1951223,2249960,1710343,2075512,1845470,1812804,2166907,2943824,1718085,1931952,1464215,1868169,1661050,1463776,2009051
Sri Lanka,Asia,Southern Asia,80,35,10,45,45.0,21.5,41561,40841,40132,39526,38959,39706,40254,40698,23423,22689,21971,21318,20694,20745,21196,21430,18138,18152,18161,18208,18265,18961,19058,19268
Indonesia,Asia,South-Eastern Asia,78,5,46,48,29.0,38.0,92058,114419,287645,87508,113288,192119,306702,445726,48516,59984,168284,46262,60716,104362,164933,239643,43542,54435,119361,41246,52572,87757,141769,206083
Malaysia,Asia,South-Eastern Asia,100,27,50,36,47.0,57.0,1027572,1312828,1613819,2174308,3086876,3513497,3718696,3806514,596598,736583,888379,1185459,1891351,2071320,2581227,2935226,430974,576245,725440,988849,1195525,1442177,1137469,871288
Philippines,Asia,South-Eastern Asia,94,17,64,44,46.0,42.0,134600,145980,157361,168741,178147,131897,87212,87212,71127,78895,86664,94431,101237,80911,61273,61273,63473,67085,70697,74310,76910,50986,25939,25939
Singapore,Asia,South-Eastern Asia,74,43,48,8,67.0,46.0,729377,993616,1319433,1494527,2160350,2535340,2589107,2841665,343638,455143,587340,660460,948117,1099496,1113683,1219095,385739,538473,732093,834067,1212233,1435844,1475424,1622570
Thailand,Asia,South-Eastern Asia,64,19,34,64,67.0,45.0,287933,271568,771234,1705845,2640454,2853248,3015007,3179399,187089,175611,389097,923939,1458781,1587904,1688347,1787785,100844,95957,382137,781906,1181673,1265344,1326660,1391614
Viet Nam,Asia,South-Eastern Asia,70,30,40,30,47.0,35.0,88560,88376,86213,81997,84408,101386,200639,326418,44481,44541,43376,40269,40086,46973,95911,153988,44079,43835,42837,41728,44322,54413,104728,172430
Armenia,Asia,Western Asia,85,17,50,88,38.0,25.0,433541,622042,588242,476812,210873,190896,207139,274645,178007,265656,252834,204448,86213,78453,86816,117974,255534,356386,335408,272364,124660,112443,120323,156671
Azerbaijan,Asia,Western Asia,85,28,50,88,59.0,22.0,402177,588812,523518,301922,251417,224337,198894,218460,188096,287065,255349,142356,117816,105316,93478,104564,214081,301747,268169,159566,133601,119021,105416,113896
Georgia,Asia,Western Asia,65,15,55,85,24.0,32.0,304470,152235,76117,71296,73078,76685,79368,81582,133285,66643,33321,31215,31993,33570,34879,35852,171185,85592,42796,40081,41085,43115,44489,45730
Iraq,Asia,Western Asia,97,25,53,96,11.0,23.0,83638,199460,210525,134863,120466,359352,365766,370980,55751,114821,120464,81877,74535,209217,201427,204298,27887,84639,90061,52986,45931,150135,164339,166682
Israel,Asia,Western Asia,13,56,47,81,47.0,26.9,1622505,1781111,1838155,1881017,1953214,2019891,2068830,2091569,760298,825586,849174,864601,903569,937050,953833,954699,862207,955525,988981,1016416,1049645,1082841,1114997,1136870
Jordan,Asia,Western Asia,70,20,45,65,20.0,43.0,1131529,1511664,1834160,2229368,3723368,4386976,4940142,5280168,655623,848804,1011921,1221863,2047423,2449395,2754916,2942359,475906,662860,822239,1007505,1675945,1937581,2185226,2337809
Kuwait,Asia,Western Asia,73,28,45,70,31.0,29.0,1056143,935152,1116932,1353949,1871827,2610785,3030731,3323191,647863,596039,726412,887838,1138763,1642376,1999895,2194374,408280,339113,390520,466111,733064,968409,1030836,1128817
Lebanon,Asia,Western Asia,62,27,48,57,47.0,10.0,424488,466437,514836,553850,625884,1763717,1586346,1422583,236545,262964,300656,335523,398439,878725,810758,720891,187943,203473,214180,218327,227445,884992,775588,701692
Qatar,Asia,Western Asia,93,18,55,80,14.0,26.9,215508,307661,439215,643000,1409000,2090000,2182000,2337000,150223,214459,308660,515000,1141000,1692000,1694000,1807000,65285,93202,130555,128000,268000,398000,488000,530000
Saudi Arabia,Asia,Western Asia,72,48,43,64,27.0,14.0,4484868,4853489,5219382,6605114,8976961,13251622,13071258,13683841,2950373,3371650,3491478,4586943,6375143,10068911,9905596,10637190,1534495,1481839,1727904,2018171,2601818,3182711,3165662,3046651
Syrian Arab Republic,Asia,Western Asia,80,35,52,60,30.0,26.9,714140,830610,834916,882398,1783595,835716,868711,896042,364077,423115,427981,452524,910982,426967,432279,445879,350063,407495,406935,429874,872613,408749,436432,450163
Türkiye,Asia,Western Asia,66,46,45,85,35.0,49.0,1159415,1220898,1279019,1345188,1420433,3750982,6580295,7083501,576098,596917,615830,638502,666516,1999644,3393365,3519766,583317,623981,663189,706686,753917,1751338,3186930,3563735
United Arab Emirates,Asia,Western Asia,74,36,52,66,22.0,22.0,1302298,1795514,2373577,3218730,5446000,6859000,7184000,8157000,920866,1287916,1712763,2341003,3746000,4642000,4860000,5491000,381432,507598,660814,877727,1700000,2217000,2324000,2666000
Belarus,Europe,Eastern Europe,95,48,20,95,53.0,15.0,1248977,1186282,1123586,1106982,1090378,1082905,1067090,1054604,572021,543307,514593,506988,499384,495961,488713,482995,676956,642975,608993,599994,590994,586944,578377,571609
Bulgaria,Europe,Eastern Europe,70,50,40,85,51.0,16.0,21510,32435,43360,61074,76287,123803,184363,299100,9047,13642,18238,26594,33841,60058,91585,141530,12463,18793,25122,34480,42446,63745,92778,157570
Czechia,Europe,Eastern Europe,57,70,57,74,51.0,29.0,442428,531039,639018,670689,692197,688047,680221,1025199,197025,245352,307034,333861,356502,354404,348725,500157,245403,285687,331984,336828,335695,333643,331496,525042
Hungary,Europe,Eastern Europe,46,71,88,82,45.0,31.0,347510,322234,296957,366787,436616,475508,584567,689565,156185,147202,138219,174216,210212,235719,303065,357501,191325,175032,158738,192571,226404,239789,281502,332064
