"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Burundi","AFRICA","Eastern Africa","333110","254853","125628","192774","247321","298299","344767","387101","163267","124165","61094","94413","121762","146970","170125","191015","169843","130688","64534","98361","125559","151329","174642","196086"
"Comoros","AFRICA","Eastern Africa","14079","13939","13799","13209","12618","12555","12496","12449","6717","6614","6511","6286","6060","6071","6044","6021","7362","7325","7288","6923","6558","6484","6452","6428"
"Djibouti","AFRICA","Eastern Africa","122221","99774","100507","92110","102307","112351","119738","125996","64242","52476","52920","51331","53669","59081","62863","66148","57979","47298","47587","40779","48638","53270","56875","59848"
"Eritrea","AFRICA","Eastern Africa","11848","12400","12952","15905","15813","15941","13934","12512","6228","6542","6856","8603","8679","8833","7815","7017","5620","5858","6096","7302","7134","7108","6119","5495"
"Ethiopia","AFRICA","Eastern Africa","875325","478712","311441","170773","227078","797374","875170","1168455","436392","240215","156802","86760","115758","396795","435342","587448","438933","238497","154639","84013","111320","400579","439828","581007"
"Kenya","AFRICA","Eastern Africa","298089","618745","707852","773354","954925","1126886","1050147","992536","161259","322189","352933","400364","473093","562909","529975","500901","136830","296556","354919","372990","481832","563977","520172","491635"
"Madagascar","AFRICA","Eastern Africa","23917","21177","23541","26058","28905","32075","35563","38625","13348","11901","13276","14744","16410","18270","20262","22006","10569","9276","10265","11314","12495","13805","15301","16619"
"Malawi","AFRICA","Eastern Africa","1127724","241624","232620","221661","217722","197328","191362","186719","546520","116198","111530","105931","103869","93689","93612","91341","581204","125426","121090","115730","113853","103639","97750","95378"
"Mauritius","AFRICA","Eastern Africa","3613","7493","15543","19647","24836","28585","28893","29142","1763","3228","5705","8943","13188","15832","16003","16141","1850","4265","9838","10704","11648","12753","12890","13001"
"Mayotte","AFRICA","Eastern Africa","15229","26316","45474","63176","72757","81386","111540","143528","8780","14679","23546","31364","34500","37657","51609","66409","6449","11637","21928","31812","38257","43729","59931","77119"
"Mozambique","AFRICA","Eastern Africa","122332","168256","195702","268694","306471","321794","338850","353143","66060","91210","103175","130290","148105","155510","165490","172471","56272","77046","92527","138404","158366","166284","173360","180672"
"Réunion","AFRICA","Eastern Africa","57210","77159","100678","115076","123029","127209","131769","135534","30724","40710","52264","59196","62707","64537","66852","68762","26486","36449","48414","55880","60322","62672","64917","66772"
"Rwanda","AFRICA","Eastern Africa","160024","215735","347076","423187","426901","514647","513907","513316","80763","109783","175741","213279","214048","256327","259907","259608","79261","105952","171335","209908","212853","258320","254000","253708"
"Seychelles","AFRICA","Eastern Africa","3721","5148","6574","8997","11420","12791","13050","13261","2204","3021","3837","5820","7804","8954","9136","9284","1517","2127","2737","3177","3616","3837","3914","3977"
"Somalia","AFRICA","Eastern Africa","478294","19527","20097","20768","48106","40990","58590","77972","244201","10282","10628","11098","25213","21584","32285","42965","234093","9245","9469","9670","22893","19406","26305","35007"
"South Sudan","AFRICA","Eastern Africa","652365","652365","652365","652365","230732","844112","882252","914001","331151","331151","331151","331151","119106","430944","443405","459362","321214","321214","321214","321214","111626","413168","438847","454639"
"Uganda","AFRICA","Eastern Africa","560570","666211","624296","637596","515055","823181","1776038","2057759","287964","337514","312128","315519","250995","398851","853169","926260","272606","328697","312168","322077","264060","424330","922869","1131499"
"United Republic of Tanzania","AFRICA","Eastern Africa","574025","1106043","949600","771153","309847","384567","426017","462371","283390","547089","481816","486983","154591","190617","213007","231184","290635","558954","467784","284170","155256","193950","213010","231187"
"Zambia","AFRICA","Eastern Africa","279463","244338","343703","252895","149962","132107","187955","249205","143029","125329","175114","128628","75941","66651","97556","129347","136434","119009","168589","124267","74021","65456","90399","119858"
"Zimbabwe","AFRICA","Eastern Africa","634621","431226","410109","402226","398307","400482","416141","429108","356240","246013","233881","229254","227201","225653","236561","243932","278381","185213","176228","172972","171106","174829","179580","185176"
"Angola","AFRICA","Middle Africa","33517","39813","46108","62331","336367","632178","656434","676507","18142","20755","23367","30736","162332","304635","331401","341535","15375","19058","22741","31595","174035","327543","325033","334972"
"Cameroon","AFRICA","Middle Africa","265967","244791","227242","265503","291474","508346","579209","642948","145869","133945","124008","146129","161485","251311","286254","317755","120098","110846","103234","119374","129989","257035","292955","325193"
"Chad","AFRICA","Central African Republic","74342","89584","104825","352130","417034","466968","547494","1269673","40133","48298","56463","159745","186821","215640","249548","564360","34209","41286","48362","192385","230213","251328","297946","705313"
